admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode, Total_pop 
Miro Khan,PK81502,Qambar Shahdadkot,PK815,Sindh,PK8,Pakistan,PK," 427,150 "
Mirpur Bathoro,PK82403,Sujawal,PK824,Sindh,PK8,Pakistan,PK," 210,959 "
Mirpur Khas,PK81204,Mirpur Khas,PK812,Sindh,PK8,Pakistan,PK," 815,956 "
Mirpur Mathelo,PK80304,Ghotki,PK803,Sindh,PK8,Pakistan,PK," 327,944 "
Mirpur Sakro,PK82206,Thatta,PK822,Sindh,PK8,Pakistan,PK," 340,834 "
Mirwah,PK80906,Khairpur,PK809,Sindh,PK8,Pakistan,PK," 352,491 "
Mithi,PK82103,Tharparkar,PK821,Sindh,PK8,Pakistan,PK," 527,558 "
Moro,PK81303,Naushahro Feroze,PK813,Sindh,PK8,Pakistan,PK," 368,789 "
Multan City,PK62203,Multan,PK622,Punjab,PK6,Pakistan,PK," 2,258,570 "
Multan Saddar,PK62202,Multan,PK622,Punjab,PK6,Pakistan,PK," 1,322,756 "
Muridke,PK63302,Sheikhupura,PK633,Punjab,PK6,Pakistan,PK," 639,784 "
Murree,PK63005,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK," 233,471 "
Musakhel,PK72101,Musakhel,PK721,Balochistan,PK7,Pakistan,PK," 167,017 "
Muslim Bagh,PK71605,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK," 78,597 "
Muzaffargarh,PK62304,Muzaffargarh,PK623,Punjab,PK6,Pakistan,PK," 1,621,744 "
Nag,PK72903,Washuk,PK729,Balochistan,PK7,Pakistan,PK," 34,269 "
Nagarparkar,PK82104,Tharparkar,PK821,Sindh,PK8,Pakistan,PK," 378,200 "
Nal,PK71402,Khuzdar,PK714,Balochistan,PK7,Pakistan,PK," 169,242 "
Nankana Sahib,PK62401,Nankana Sahib,PK624,Punjab,PK6,Pakistan,PK," 883,876 "
Nara,PK80907,Khairpur,PK809,Sindh,PK8,Pakistan,PK," 160,985 "
Narowal,PK62501,Narowal,PK625,Punjab,PK6,Pakistan,PK," 816,050 "
Naushahro Feroze,PK81304,Naushahro Feroze,PK813,Sindh,PK8,Pakistan,PK," 372,821 "
Nawabshah,PK81603,Shaheed Benazirabad,PK816,Sindh,PK8,Pakistan,PK," 413,913 "
Nawagai,PK23205,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 79,002 "
Nowshera,PK21801,Nowshera,PK218,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 1,081,239 "
Nowshera Virkan,PK60903,Gujranwala,PK609,Punjab,PK6,Pakistan,PK," 535,746 "
Nurpur,PK61602,Khushab,PK616,Punjab,PK6,Pakistan,PK," 243,295 "
Nushki,PK72301,Nushki,PK723,Balochistan,PK7,Pakistan,PK," 178,796 "
Oghi,PK21603,Mansehra,PK216,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 265,728 "
Okara,PK62602,Okara,PK626,Punjab,PK6,Pakistan,PK," 1,205,655 "
Ormara,PK70603,Gwadar,PK706,Balochistan,PK7,Pakistan,PK," 25,727 "
Pabbi,PK21802,Nowshera,PK218,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 437,301 "
Paharpur,PK20704,Dera Ismail Khan,PK207,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 383,984 "
Pakpattan,PK62702,Pakpattan,PK627,Punjab,PK6,Pakistan,PK," 969,225 "
Palas,PK21202,Kohistan,PK212,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 275,003 "
Panjgur,PK72402,Panjgur,PK724,Balochistan,PK7,Pakistan,PK," 260,852 "
Panjpai,PK72602,Quetta,PK726,Balochistan,PK7,Pakistan,PK," 20,726 "
Pano Aqil,PK81801,Sukkur,PK818,Sindh,PK8,Pakistan,PK," 435,823 "
Parome,PK72403,Panjgur,PK724,Balochistan,PK7,Pakistan,PK," 39,032 "
Pasni,PK70604,Gwadar,PK706,Balochistan,PK7,Pakistan,PK," 61,396 "
Pasrur,PK63402,Sialkot,PK634,Punjab,PK6,Pakistan,PK," 840,881 "
Pattan,PK21203,Kohistan,PK212,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 202,933 "
Pattoki,PK61403,Kasur,PK614,Punjab,PK6,Pakistan,PK," 934,329 "
